ID1	ID2	turn_all	turn_no	word	sentence
C1	001002_01	3	1	12	1
C1	001002_01	3	2	29	1
C1	001002_01	3	3	1	1
C2	003004_01	3	1	1	1
C2	003004_01	3	2	21	1
C2	003004_01	3	3	2	1
C3	005006_01	3	1	10	1
C3	005006_01	3	2	5	1
C3	005006_01	3	3	17	1
C4	015016_01	3	1	36	2
C4	015016_01	3	2	7	1
C4	015016_01	3	3	78	5
C5	007008_01	3	1	23	2
C5	007008_01	3	2	15	2
C5	007008_01	3	3	2	2
C6	019020_01	3	1	26	2
C6	019020_01	3	2	3	1
C6	019020_01	3	3	16	1
C7	027028_01	6	1	10	1
C7	027028_01	6	2	2	1
C7	027028_01	6	3	12	1
C7	027028_01	6	4	10	1
C7	027028_01	6	5	46	5
C7	027028_01	6	6	14	2
C8	029030_01	5	1	17	2
C8	029030_01	5	2	10	1
C8	029030_01	5	3	23	1
C8	029030_01	5	4	20	2
C8	029030_01	5	5	32	2
C9	031032_01	4	1	1	1
C9	031032_01	4	2	17	1
C9	031032_01	4	3	3	1
C9	031032_01	4	4	30	1
C10	033034_01	3	1	20	3
C10	033034_01	3	2	9	2
C10	033034_01	3	3	9	1
C11	037038_01	3	1	21	1
C11	037038_01	3	2	2	1
C11	037038_01	3	3	39	2
C12	035036_01	3	1	48	3
C12	035036_01	3	2	9	1
C12	035036_01	3	3	10	1
C13	039040_01	4	1	25	2
C13	039040_01	4	2	4	2
C13	039040_01	4	3	5	1
C13	039040_01	4	4	72	3
C14	041042_01	4	1	8	1
C14	041042_01	4	2	6	1
C14	041042_01	4	3	9	1
C14	041042_01	4	4	4	1
C15	015016_02	4	1	8	2
C15	015016_02	4	2	27	1
C15	015016_02	4	3	7	1
C15	015016_02	4	4	95	3
C16	053054_01 	4	1	8	2
C16	053054_01 	4	2	5	1
C16	053054_01 	4	3	1	1
C16	053054_01 	4	4	7	1
C17	057058_01	5	1	9	2
C17	057058_01	5	2	1	1
C17	057058_01	5	3	4	1
C17	057058_01	5	4	2	1
C17	057058_01	5	5	6	1
C18	067068_01	6	1	2	1
C18	067068_01	6	2	21	1
C18	067068_01	6	3	2	1
C18	067068_01	6	4	19	1
C18	067068_01	6	5	68	3
C18	067068_01	6	6	1	1
C19	061062_01	5	1	3	2
C19	061062_01	5	2	17	2
C19	061062_01	5	3	7	3
C19	061062_01	5	4	21	2
C19	061062_01	5	5	6	1
C20	071072_01	7	1	9	1
C20	071072_01	7	2	19	2
C20	071072_01	7	3	19	1
C20	071072_01	7	4	1	1
C20	071072_01	7	5	18	1
C20	071072_01	7	6	1	1
C20	071072_01	7	7	3	1
C21	073074_01	5	1	10	1
C21	073074_01	5	2	24	2
C21	073074_01	5	3	8	1
C21	073074_01	5	4	7	2
C21	073074_01	5	5	15	1
C22	075076_01	3	1	5	1
C22	075076_01	3	2	20	1
C22	075076_01	3	3	3	1
C23	079080_01 	3	1	11	2
C23	079080_01 	3	2	13	1
C23	079080_01 	3	3	9	1
C24	// missing id	3	1	11	1
C24	// missing id	3	2	39	3
C24	// missing id	3	3	12	2
C25	067068_02	3	1	281	9
C25	067068_02	3	2	7	1
C25	067068_02	3	3	222	8
C26	// missing id	4	1	69	2
C26	// missing id	4	2	37	2
C26	// missing id	4	3	22	3
C26	// missing id	4	4	104	3
C27	085086_01 	4	1	27	1
C27	085086_01 	4	2	50	4
C27	085086_01 	4	3	26	2
C27	085086_01 	4	4	17	2
C28	023024_01	4	1	6	2
C28	023024_01	4	2	1	1
C28	023024_01	4	3	7	1
C28	023024_01	4	4	33	2
C29	047048_01	5	1	2	2
C29	047048_01	5	2	8	2
C29	047048_01	5	3	1	1
C29	047048_01	5	4	5	1
C29	047048_01	5	5	11	1
C30	049050_01 	6	1	12	1
C30	049050_01 	6	2	1	1
C30	049050_01 	6	3	8	1
C30	049050_01 	6	4	8	1
C30	049050_01 	6	5	2	1
C30	049050_01 	6	6	1	1
C31	067068_03	9	1	11	2
C31	067068_03	9	2	10	2
C31	067068_03	9	3	34	3
C31	067068_03	9	4	4	1
C31	067068_03	9	5	58	3
C31	067068_03	9	6	2	2
C31	067068_03	9	7	186	4
C31	067068_03	9	8	8	1
C31	067068_03	9	9	63	2
C32	015016_3	9	1	4	1
C32	015016_3	9	2	17	2
C32	015016_3	9	3	4	2
C32	015016_3	9	4	2	2
C32	015016_3	9	5	10	2
C32	015016_3	9	6	2	1
C32	015016_3	9	7	125	4
C32	015016_3	9	8	18	2
C32	015016_3	9	9	60	4
C33	093094_01	4	1	15	4
C33	093094_01	4	2	27	2
C33	093094_01	4	3	1	1
C33	093094_01	4	4	47	1
C34	099100_01	4	1	8	1
C34	099100_01	4	2	32	2
C34	099100_01	4	3	3	2
C34	099100_01	4	4	51	3
C35	097098_01	3	1	25	1
C35	097098_01	3	2	17	1
C35	097098_01	3	3	10	2
C36	103104_01	5	1	7	1
C36	103104_01	5	2	2	2
C36	103104_01	5	3	3	1
C36	103104_01	5	4	24	2
C36	103104_01	5	5	1	1
C37	105106_01	4	1	15	1
C37	105106_01	4	2	2	1
C37	105106_01	4	3	7	1
C37	105106_01	4	4	26	1
C38	183184_01	4	1	39	4
C38	183184_01	4	2	8	1
C38	183184_01	4	3	15	2
C38	183184_01	4	4	22	1
C39	161162_01	4	1	2	1
C39	161162_01	4	2	17	2
C39	161162_01	4	3	15	2
C39	161162_01	4	4	77	4
C40	155156_01	4	1	25	1
C40	155156_01	4	2	28	1
C40	155156_01	4	3	3	1
C40	155156_01	4	4	1	0
C41	167168_02	4	1	91	2
C41	167168_02	4	2	6	2
C41	167168_02	4	3	7	2
C41	167168_02	4	4	4	1
C42	035036_02	3	1	95	3
C42	035036_02	3	2	11	1
C42	035036_02	3	3	28	1
C43	151152_01	4	1	23	1
C43	151152_01	4	2	1	1
C43	151152_01	4	3	26	1
C43	151152_01	4	4	18	1
C44	083084_03	4	1	41	2
C44	083084_03	4	2	1	1
C44	083084_03	4	3	77	5
C44	083084_03	4	4	9	1
C45	149150_01	3	1	2	1
C45	149150_01	3	2	9	1
C45	149150_01	3	3	17	2
C46	147148_01	3	1	11	1
C46	147148_01	3	2	19	2
C46	147148_01	3	3	11	2
C47	145146_01	3	1	10	1
C47	145146_01	3	2	8	1
C47	145146_01	3	3	14	1
C48	139140_01	3	1	9	2
C48	139140_01	3	2	8	1
C48	139140_01	3	3	5	1
C49	137138_01	4	1	4	1
C49	137138_01	4	2	4	1
C49	137138_01	4	3	4	2
C49	137138_01	4	4	39	2
C50	127128_01	6	1	13	1
C50	127128_01	6	2	2	1
