ID1	ID2	turn_all	turn_no	word	sentence
D1	OT_01	3	1	16	1
D1	OT_01	3	2	30	1
D1	OT_01	3	3	1	1
D2	OT_52	3	1	6	3
D2	OT_52	3	2	21	2
D2	OT_52	3	3	3	1
D3	OT_12	3	1	4	2
D3	OT_12	3	2	8	3
D3	OT_12	3	3	19	2
D4	OT_18	3	1	10	2
D4	OT_18	3	2	17	2
D4	OT_18	3	3	83	3
D5	OT_31	3	1	23	1
D5	OT_31	3	2	12	2
D5	OT_31	3	3	4	1
D6	OT_38	3	1	21	1
D6	OT_38	3	2	1	1
D6	OT_38	3	3	20	1
D7	OT_07	5	1	7	1
D7	OT_07	5	2	20	2
D7	OT_07	5	3	8	1
D7	OT_07	5	4	8	1
D7	OT_07	5	5	49	1
D8	OT_13	5	1	4	2
D8	OT_13	5	2	15	1
D8	OT_13	5	3	13	2
D8	OT_13	5	4	5	1
D8	OT_13	5	5	31	1
D9	OT_32	4	1	3	1
D9	OT_32	4	2	11	1
D9	OT_32	4	3	3	2
D9	OT_32	4	4	31	2
D10	OT_37	3	1	15	3
D10	OT_37	3	2	10	1
D10	OT_37	3	3	10	2
D11	OT_36	3	1	19	2
D11	OT_36	3	2	3	1
D11	OT_36	3	3	34	3
D12	OT_30	4	1	34	2
D12	OT_30	4	2	11	1
D12	OT_30	4	3	9	1
D12	OT_30	4	4	4	1
D13	OT_06	4	1	5	2
D13	OT_06	4	2	17	3
D13	OT_06	4	3	13	2
D13	OT_06	4	4	61	5
D14	OT_24	4	1	7	2
D14	OT_24	4	2	7	1
D14	OT_24	4	3	3	2
D14	OT_24	4	4	9	2
D15	OT_25	4	1	3	2
D15	OT_25	4	2	40	3
D15	OT_25	4	3	2	2
D15	OT_25	4	4	92	5
D16	OT_41	4	1	7	1
D16	OT_41	4	2	9	2
D16	OT_41	4	3	2	1
D16	OT_41	4	4	10	1
D17	OT_23	5	1	4	1
D17	OT_23	5	2	1	1
D17	OT_23	5	3	3	1
D17	OT_23	5	4	6	1
D17	OT_23	5	5	4	1
D18	OT_35	6	1	12	2
D18	OT_35	6	2	7	1
D18	OT_35	6	3	6	3
D18	OT_35	6	4	3	2
D18	OT_35	6	5	77	7
D18	OT_35	6	6	11	2
D19	CP_03	5	1	9	2
D19	CP_03	5	2	23	2
D19	CP_03	5	3	5	1
D19	CP_03	5	4	26	6
D19	CP_03	5	5	6	1
D20	CP_13	7	1	5	2
D20	CP_13	7	2	8	2
D20	CP_13	7	3	24	1
D20	CP_13	7	4	8	2
D20	CP_13	7	5	9	3
D20	CP_13	7	6	3	2
D20	CP_13	7	7	7	1
D21	CP_17	5	1	9	3
D21	CP_17	5	2	17	2
D21	CP_17	5	3	10	3
D21	CP_17	5	4	5	2
D21	CP_17	5	5	14	2
D22	CP_32	3	1	10	3
D22	CP_32	3	2	22	3
D22	CP_32	3	3	8	1
D23	CP_37	3	1	11	2
D23	CP_37	3	2	19	3
D23	CP_37	3	3	12	1
D24	CP_45	3	1	8	2
D24	CP_45	3	2	33	2
D24	CP_45	3	3	27	4
D25	CP_83	3	1	270	11
D25	CP_83	3	2	6	2
D25	CP_83	3	3	307	16
D26	CP_30	4	1	50	6
D26	CP_30	4	2	14	2
D26	CP_30	4	3	53	3
D26	CP_30	4	4	167	10
D27	CP_41	4	1	22	3
D27	CP_41	4	2	42	4
D27	CP_41	4	3	24	3
D27	CP_41	4	4	7	3
D28	CP_81	4	1	10	3
D28	CP_81	4	2	7	2
D28	CP_81	4	3	7	2
D28	CP_81	4	4	30	3
D29	CP_79	5	1	3	1
D29	CP_79	5	2	1	1
D29	CP_79	5	3	3	2
D29	CP_79	5	4	5	2
D29	CP_79	5	5	5	1
D30	CP_47	6	1	13	2
D30	CP_47	6	2	4	1
D30	CP_47	6	3	7	2
D30	CP_47	6	4	9	1
D30	CP_47	6	5	9	2
D30	CP_47	6	6	6	1
D31	CP_25	8	1	8	2
D31	CP_25	8	2	12	2
D31	CP_25	8	3	3	2
D31	CP_25	8	4	20	2
D31	CP_25	8	5	7	2
D31	CP_25	8	6	264	10
D31	CP_25	8	7	8	2
D31	CP_25	8	8	275	14
D32	CP_61	9	1	12	2
D32	CP_61	9	2	2	2
D32	CP_61	9	3	3	2
D32	CP_61	9	4	13	2
D32	CP_61	9	5	26	3
D32	CP_61	9	6	5	2
D32	CP_61	9	7	108	8
D32	CP_61	9	8	84	9
D32	CP_61	9	9	90	5
D33	MM_02	5	1	7	1
D33	MM_02	5	2	4	1
D33	MM_02	5	3	15	2
D33	MM_02	5	4	17	2
D33	MM_02	5	5	44	3
D34	MM_03	4	1	8	2
D34	MM_03	4	2	34	4
D34	MM_03	4	3	14	2
D34	MM_03	4	4	48	4
D35	MM_06	3	1	27	3
D35	MM_06	3	2	12	1
D35	MM_06	3	3	23	3
D36	MM_13	5	1	13	1
D36	MM_13	5	2	6	1
D36	MM_13	5	3	14	2
D36	MM_13	5	4	14	2
D36	MM_13	5	5	4	1
D37	MM_16	4	1	18	1
D37	MM_16	4	2	5	1
D37	MM_16	4	3	2	2
D37	MM_16	4	4	21	2
D38	MM_35	3	1	32	2
D38	MM_35	3	2	17	4
D38	MM_35	3	3	30	3
D39	MM_40	4	1	23	2
D39	MM_40	4	2	59	3
D39	MM_40	4	3	41	4
D39	MM_40	4	4	99	7
D40	MM_47	4	1	18	3
D40	MM_47	4	2	20	2
D40	MM_47	4	3	11	2
D40	MM_47	4	4	1	0
D41	MM_52	4	1	84	8
D41	MM_52	4	2	17	2
D41	MM_52	4	3	27	5
D41	MM_52	4	4	6	1
D42	MM_59	3	1	80	5
D42	MM_59	3	2	25	1
D42	MM_59	3	3	19	1
D43	MM_65	4	1	20	1
D43	MM_65	4	2	9	2
D43	MM_65	4	3	32	4
D43	MM_65	4	4	9	1
D44	MM_69	4	1	64	4
D44	MM_69	4	2	37	5
D44	MM_69	4	3	79	6
